"","GEOID","NAME","year","pct_white","pct_black","pct_hispanic","pct_bac_25","pct_work_inside_st_ct","avg_work_commute","pct_snap","pct_poverty","med_income","med_home_value","med_rent"
"1",6001,"Alameda County, California",2009,0.361168958123531,0.123218382789735,0.219497788106058,0.402035413199895,0.658414428404637,28.2354339034086,0.0766178977446929,0.107080401417811,68405,507400,1111
"2",6007,"Butte County, California",2009,0.760337659864809,0.0134510851086015,0.133391060718026,0.234010265565722,0.891010535070696,20.316758454047,0.147145767586785,0.18276561516402,41786,245100,738
"3",6013,"Contra Costa County, California",2009,0.496501401168184,0.0901789538584465,0.231690217944556,0.375911521984999,0.602657675021498,31.3106613320781,0.0556519015835111,0.0955279284841319,75139,424500,1185
"4",6017,"El Dorado County, California",2009,0.797312367257505,0.00744198557554904,0.121083571032295,0.31900478437541,0.54439441312457,29.1594165147174,0.0405883298505064,0.0696846245302049,70449,399800,990
"5",6019,"Fresno County, California",2009,0.342788497782614,0.0498073239830563,0.492530594897445,0.197975678481388,0.925091906261601,21.4810515523673,0.212075922881483,0.214992528510512,45661,221700,718
"6",6023,"Humboldt County, California",2009,0.782577166089351,0.0108776991737577,0.0886185322049328,0.265037684220633,0.981073604594159,17.2797621280906,0.173687323388316,0.191895987875887,35745,303900,722
"7",6025,"Imperial County, California",2009,0.157603940697772,0.031958243944533,0.773128228483766,0.14895200297656,0.914332311773034,19.2895234493192,0.211819989155973,0.228130305467264,38594,160300,547
"8",6029,"Kern County, California",2009,0.40042134883646,0.0549091102752391,0.478839048955483,0.138061794457822,0.931951412999804,23.577052290983,0.167598292543477,0.223523506775975,47368,177800,701
"9",6031,"Kings County, California",2009,0.369027452878385,0.0735594633110161,0.498944637143395,0.124745223643246,0.798993174367151,22.4624426658744,0.156202566579274,0.176877418187029,44506,204800,690
"10",6033,"Lake County, California",2009,NA,NA,NA,0.185732068506675,0.774693705111956,28.8191787214186,0.172631696678224,0.246229436825575,39343,252500,695
"11",6037,"Los Angeles County, California",2009,0.282121130855764,0.0829886359793871,0.48023839534704,0.286957132692069,0.925703112324792,28.5971667446782,0.0917168600778319,0.160656241024882,54467,441400,1049
"12",6039,"Madera County, California",2009,0.389532536735023,0.0346695193498035,0.516793153560472,0.148371465845182,0.652701705752163,27.3400653186687,0.141542175946884,0.196787007417302,44135,226500,721
"13",6041,"Marin County, California",2009,0.73809371884347,0.0276889332003988,0.146636091724826,0.542236151651759,0.657335620731748,28.7120969146041,0.0363215978223439,0.0606530605545845,89019,820200,1511
"14",6045,"Mendocino County, California",2009,NA,NA,NA,0.214193548387097,0.958736865208922,20.0375140487834,0.102543418430293,0.172938406942834,41867,369800,728
"15",6047,"Merced County, California",2009,0.34189898133466,0.0368945177950522,0.531079687429939,0.113234957348142,0.759435572136376,26.9349276836439,0.190095264536952,0.256463099462343,39535,157500,686
"16",6053,"Monterey County, California",2009,0.343190291687989,0.0285620293881132,0.539279187075079,0.215489083038673,0.901091708027868,22.4784704544224,0.0886375365559952,0.178010417704477,58448,402700,1016
"17",6055,"Napa County, California",2009,0.583245451169699,0.0211511325659116,0.308295581136279,0.312146643109541,0.726103029430122,24.0600818918693,0.0391808996872745,0.0722268958057926,68541,456100,1152
"18",6057,"Nevada County, California",2009,NA,NA,NA,0.321774362556759,0.747877358490566,22.1450043509216,0.0714366837024418,0.0938482541783882,57884,413900,1042
"19",6059,"Orange County, California",2009,0.453317148949414,0.0156813200536807,0.341546445635734,0.348213437722205,0.836271045652592,25.9328583329874,0.049707146772844,0.106517448339756,71865,530400,1367
"20",6061,"Placer County, California",2009,0.767050540521931,0.0140151254332209,0.1240044527072,0.331581659809231,0.625159419554196,26.6363346657707,0.0292404065183108,0.0716350415972417,70568,369400,1015
"21",6065,"Riverside County, California",2009,0.407286020776874,0.0590404810298103,0.447014735772358,0.197040608024727,0.694374846768841,31.0537218362428,0.0854451595602038,0.138718967790364,55352,247200,986
"22",6067,"Sacramento County, California",2009,0.510643856414473,0.0965367047622719,0.204901106321501,0.274198559058761,0.826845928656619,25.4302171565559,0.140089923812867,0.153924401365895,52504,257800,860
"23",6071,"San Bernardino County, California",2009,0.348206572621034,0.0826055560043674,0.480766705011169,0.185600152434655,0.699794480143397,28.9523684813566,0.134208968525626,0.169803442213062,52320,242000,934
"24",6073,"San Diego County, California",2009,0.501663013832306,0.0485124564762576,0.313461324981752,0.345572114941994,0.968376953820754,23.9201290652666,0.0520922943019445,0.125879645584818,60231,417700,1157
"25",6075,"San Francisco County, California",2009,0.450730844610588,0.0583743582573544,0.144098665862112,0.519789642414062,0.78194946839544,28.9278388458141,0.0711992288541688,0.116321592360169,70770,751600,1312
"26",6077,"San Joaquin County, California",2009,0.380687846368136,0.0689328156951071,0.375657173339656,0.180385687468002,0.721910090440184,29.8320215519518,0.128903096221127,0.156990799426895,52789,221600,859
"27",6079,"San Luis Obispo County, California",2009,0.722490457765076,0.0200471212229044,0.196084968030236,0.300730301686927,0.894903690144361,19.8965708856902,0.0711064918452191,0.13307635463061,56661,460300,1011
"28",6081,"San Mateo County, California",2009,0.443496353908057,0.0291895981718775,0.237445913637065,0.436742849508145,0.580953110026141,25.1164691026849,0.0242233301020173,0.0774897377847668,85213,731800,1381
"29",6083,"Santa Barbara County, California",2009,0.508950834895359,0.0192061554032973,0.404029411114414,0.315241035423255,0.934078843830698,18.8110372215434,0.0729483968501094,0.151177104562844,59051,553900,1183
