State,Stab,PUMA,pumaName,cbsa,pctcbsa,CBSAName,CBSAType,pctcbsatype,csa,pctcsa,CSAName,PctUrban,pctnecta,TotPopACS,MedianAge,pctUnder18,pctOver65,pctWhite1,pctBlack1,pctAsian1,pctHispanicPop,TotHHs,MedianHHInc,FamHHs,MedianFamInc,PovUniverse,pctPoor,pctGrpQuarters,pctInCollege,pctBachelorsormore,pctForeignBorn,TotHUs,OccHUs,pctRenterOcc,MedianHValue,MedianGrossRent,ACSYears,TotPop10,Period
"FIPS state" ," " ," " ," " ,"Primary Core Based Stat Area (metro/micro area)" ,"% PUMA in CBSA" ,"Name of CBSA" ,"Primary CBSA type" ,"% PUMA in CBSAtype areas" ,"Consolidated Stat Area" ,"% PUMA in CSA" ,"Name of CSA" ,"% PUMA that is Urban (2010)" ,"% PUMA in NECTA" ,"Total Pop ACS 2013 Single-year Est" ,"Median age in years" ,"% Under 18" ,"% Over65" ,"% White1" ,"% Black1" ,"% Asian1" ,"% Hispanic Pop" ,"Total households" ,"Median household income" ,"Family households" ,"Median family income" ,"Persons for whom poverty status is determined" ,"% Poor" ,"% Group Quarters" ,"% In College" ,"% Bachelors degree or more" ,"% Foreign Born" ,"Total housing units" ,"Occupied housing units" ,"% Renter Occ HUs" ,"Median home value" ,"Median rent" ," " ,"Total Pop 2010 Census" ," "
06,CA,00701,Butte County (Northwest)--Chico City,17020,100.0,"Butte County, CA",Metro,100.0,,100.0,,88.1,,"112,057",33.5,18.4,12.2,85.6,1.7,3.3,16.6,"44,751",$47664,"23,498",$68985,109630,20.8,2.9,56.1,35.4,6.6,"49,995","44,751",50.0,285400,$862,2013,111389,1
06,CA,00702,Butte County (Southeast)--Oroville City & Paradise Town,17020,100.0,"Butte County, CA",Metro,100.0,,100.0,,73.9,,"110,033",40.7,22.3,21.2,81.1,1.3,5.7,13.6,"40,407",$39505,"26,493",$46476,108178,22.3,1.8,22.2,18.2,7.5,"46,591","40,407",34.2,156500,$870,2013,108611,1
06,CA,01100,"Colusa, Glenn, Tehama & Trinity Counties",39780,50.2,"Tehama County, CA",Micro,50.2,454,50.2,"Redding-Red Bluff, CA",49.0,,"125,541",40.0,24.6,17.3,86.2,0.6,1.5,32.1,"44,517",$47841,"32,566",$55986,124178,16.6,1.4,16.9,15.1,13.3,"54,116","44,517",28.8,190800,$794,2013,126790,1
06,CA,01301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",100.0,,"122,001",33.4,25.6,9.8,43.5,18.8,13.3,48.2,"38,412",$48279,"25,959",$49375,120521,20.8,1.0,23.8,21.4,37.3,"41,809","38,412",55.2,199400,"$1,100",2013,114777,1
06,CA,01302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cit",41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",100.0,,"117,890",42.2,17.3,15.8,47.7,13.3,26.6,20.7,"42,704",$79646,"30,594",$91996,116916,8.8,0.9,39.1,40.5,31.6,"45,060","42,704",33.0,380300,"$1,386",2013,118671,1
06,CA,01303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities",41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",99.3,,"135,105",38.6,22.7,13.2,77.3,3.6,7.1,29.2,"49,879",$70899,"32,311",$77492,133973,13.0,1.2,29.7,31.2,18.4,"52,361","49,879",45.3,378300,"$1,326",2013,129625,1
06,CA,01304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town",41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",99.2,,"126,588",47.3,19.3,21.4,79.6,2.2,11.7,6.0,"51,114",104158,"33,716",152359,123781,4.4,2.3,31.0,66.8,16.0,"53,391","51,114",25.1,876800,"$1,581",2013,117784,1
06,CA,01305,Contra Costa County (South)--San Ramon City & Danville Town,41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",98.6,,"129,315",41.5,27.9,11.6,59.2,2.5,32.2,7.6,"44,008",135430,"34,880",156136,129063,4.9,0.4,17.8,66.7,25.2,"45,585","44,008",21.0,809300,"$1,847",2013,124585,1
06,CA,01306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Ci",41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",99.7,,"117,132",41.5,21.5,17.4,73.3,2.4,11.8,12.8,"45,455",$89177,"31,301",112534,116056,7.2,1.0,23.1,51.9,20.5,"47,093","45,455",31.1,523200,"$1,502",2013,112211,1
06,CA,01307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities,41860,100.0,"San Francisco County, CA",Metro,100.0,488,100.0,"San Jose-San Francisco-Oakland, CA",99.8,,"125,670",34.0,25.8,11.8,46.7,12.7,11.8,43.3,"41,535",$58776,"30,613",$65683,124697,15.6,0.7,21.1,17.9,28.1,"43,779","41,535",46.4,283300,"$1,291",2013,120474,1
